[2024-12-14 01:10:05] Blacklist/Whitelist refresh thread started.
[2024-12-14 01:10:05] Cache cleanup thread started.
[2024-12-14 01:10:05] Active connections monitoring started.
[2024-12-14 01:10:05] Proxy server running on 127.0.0.1:9090
[2024-12-14 01:15:30] Server stopped by user.
[2024-12-14 01:15:30] Server socket closed.
[2024-12-14 01:15:30] Proxy server shutdown complete.
[2024-12-14 01:15:41] Blacklist/Whitelist refresh thread started.
[2024-12-14 01:15:41] Cache cleanup thread started.
[2024-12-14 01:27:42] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:27:52] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:28:02] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:28:12] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:28:22] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:28:32] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:28:42] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:28:52] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:29:02] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:29:12] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:29:22] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:29:32] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:29:42] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:29:52] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:30:02] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:30:12] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:30:22] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:30:32] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:30:42] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:30:52] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:31:02] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:31:12] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:31:22] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:31:32] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:31:42] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:31:52] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:32:02] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:32:12] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:32:22] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:32:32] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:32:42] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:32:52] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:33:02] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:33:12] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:33:22] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:33:32] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:33:42] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:33:52] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:34:02] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:34:12] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:34:22] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:34:32] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:34:42] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:34:52] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:35:02] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:35:12] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:35:22] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:35:32] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:35:42] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:35:52] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:36:02] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:36:12] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:36:22] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:36:32] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:36:42] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:36:52] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:37:02] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:37:12] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:37:22] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:37:32] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:37:42] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:37:52] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:38:02] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:38:12] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:38:22] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:38:32] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:38:42] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:38:52] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:39:02] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:39:12] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:39:22] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:39:32] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:39:42] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:39:52] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:40:02] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:40:12] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:40:22] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:40:32] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:40:42] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:40:52] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:41:02] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:41:12] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:41:22] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:41:32] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:41:42] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:41:52] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:42:02] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:42:12] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:42:22] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:42:32] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:42:42] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:42:52] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:43:02] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:43:12] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:43:22] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:43:32] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:43:42] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:43:52] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:44:02] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:44:12] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:44:22] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:44:32] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:44:42] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:44:52] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:45:02] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:45:12] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:45:22] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:45:32] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:45:42] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:45:52] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:46:02] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:46:12] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:46:22] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:46:32] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:46:42] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:46:52] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:47:02] Monitoring: Active connections: 0, Cache size: 0
[2024-12-14 01:47:12] Monitoring: Active connections: 0, Cache size: 0
